Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Loan Ratio
LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,0,Urban,False,20166.00,3.22324704948924e-02
LP001998,Male,Yes,2,Not Graduate,No,7667,0,185,360,0,Rural,False,7667.00,2.41293856788835e-02
LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,0,Semiurban,False,6232.00,1.81322207958922e-02
LP001123,Male,Yes,0,Graduate,No,2400,0,75,360,0,Urban,False,2400.00,0.03125
LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,0,Rural,False,6000.00,2.66666666666667e-02
LP002729,Male,No,1,Graduate,No,11250,0,196,360,0,Semiurban,False,11250.00,1.74222222222222e-02
LP002588,Male,Yes,0,Graduate,No,4625,2857,111,12,0,Urban,False,7482.00,1.48356054530874e-02
LP002067,Male,Yes,1,Graduate,Yes,8666,4983,376,360,0,Rural,False,13649.00,2.75478057000513e-02
LP001786,Male,Yes,0,Graduate,"",5746,0,255,360,0,Urban,False,5746.00,4.43786982248521e-02
LP002585,Male,Yes,0,Graduate,No,3597,2157,119,360,0,Rural,False,5754.00,2.06812652068127e-02
LP002493,Male,No,0,Graduate,No,4166,0,98,360,0,Semiurban,False,4166.00,2.35237638022084e-02
LP002898,Male,Yes,1,Graduate,No,1880,0,61,360,0,Rural,False,1880.00,3.24468085106383e-02
LP001882,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,Urban,False,6144.00,2.60416666666667e-02
LP002789,Male,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,False,7859.00,1.67960300292658e-02
LP001213,Male,Yes,1,Graduate,No,4945,0,0,360,0,Rural,False,4945.00,0
LP001711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,False,4680.00,2.73504273504274e-02
LP002562,Male,Yes,1,Not Graduate,No,5333,1131,186,360,0,Urban,False,6464.00,2.87747524752475e-02
LP002788,Male,Yes,0,Not Graduate,No,2454,2333,181,360,0,Urban,False,4787.00,3.78107374138291e-02
LP002717,Male,Yes,0,Graduate,No,1025,5500,216,360,0,Rural,False,6525.00,3.31034482758621e-02
LP002624,Male,Yes,0,Graduate,No,20833,6667,480,360,0,Urban,False,27500.00,1.74545454545455e-02
LP002188,Male,No,0,Graduate,No,5124,0,124,0,0,Rural,False,5124.00,2.4199843871975e-02
LP001273,Male,Yes,0,Graduate,No,6000,2250,265,360,0,Semiurban,False,8250.00,3.21212121212121e-02
LP001865,Male,Yes,1,Graduate,No,6083,4250,330,360,0,Urban,False,10333.00,3.19365140810994e-02
LP001405,Male,Yes,1,Graduate,No,2214,1398,85,360,0,Urban,False,3612.00,2.35326688815061e-02
LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,False,5558.00,3.61640878013674e-02
LP002205,Male,No,1,Graduate,No,3062,1987,111,180,0,Urban,False,5049.00,2.19845513963161e-02
LP002682,Male,Yes,"",Not Graduate,No,3074,1800,123,360,0,Semiurban,False,4874.00,2.52359458350431e-02
LP001391,Male,Yes,0,Not Graduate,No,3572,4114,152,0,0,Rural,False,7686.00,1.9776216497528e-02
LP002263,Male,Yes,0,Graduate,No,2583,2115,120,360,0,Urban,False,4698.00,2.55427841634738e-02
LP002142,Female,Yes,0,Graduate,Yes,5500,0,105,360,0,Rural,False,5500.00,1.90909090909091e-02
LP002949,Female,No,3+,Graduate,"",416,41667,350,180,0,Urban,False,42083.00,8.31689755958463e-03
LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,False,6085.00,1.97206244864421e-02
LP002530,"",Yes,2,Graduate,No,2873,1872,132,360,0,Semiurban,False,4745.00,2.78187565858799e-02
